EBike,1,001,丁再刚,勇峰自行车公园,-,-,-,12:12:49.496,12:18:01.080,00:05:11.584,500,12:12:49.496,12:18:01.080,00:05:11.584,500,12:12:49.496,12:18:01.080,00:05:11.584,500,1-丁再刚.png,1500
大师组,-,402,王杜,天空穿越车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,2-王杜.png,0
大师组,-,403,陈海川,西虹试飞客队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,3-陈海川.png,0
大师组,-,404,高一洋,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,4-高一洋.png,0
大师组,-,405,戴乐鸣,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,5-戴乐鸣.png,0
大师组,-,406,肖辉,长沙CYCGO速行俱乐部,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,6-肖辉.png,0
大师组,-,407,ASH/阿什,HIBP,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,7-ASH/阿什.png,0
大师组,-,408,刘怡,省级机关自行车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,8-刘怡.png,0
大师组,-,409,Ian Douglas-Jones,Team Fuzzy Balls,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,9-Ian.png,0
大师组,-,410,Johannes,Team Fuzzy Balls,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,10-Johannes.png,0
大师组,-,411,Andreas,Team Fuzzy Balls,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,11-Andreas.png,0
